id;name;code;description;address;uid;active;ad_organization_id
1;Division;FTP;Gloves Comoro Franc;Cheese Factors;9f15b673-e720-4ee7-a631-2b20579b0e7b;false;1
2;bus;New Jersey;generating West Virginia;invoice;22b478cd-5bbb-45ac-9299-8b9f117d397e;true;2
3;EXE reboot;Bahamian Dollar;New Hampshire Philippine Peso Auto Loan Account;magenta compelling Handmade;59b0c317-1ceb-4001-8c6a-17aa35c844ac;false;3
4;Incredible experiences;Cambridgeshire;Frozen;JSON;a5195be9-298a-4aa3-b06d-582bb3d94ce6;true;4
5;Pants SMS Forward;Grass-roots;transmit Manat Arkansas;deposit;547f436b-f980-4852-ab31-0ee7eb30470e;true;5
6;Strategist generating enterprise;maximize Personal Loan Account program;Unbranded interactive;Handcrafted Cotton Salad;68c33227-bfc5-4411-9d30-f7716f4ec5d2;true;6
7;XSS Fantastic productivity;Georgia Connecticut schemas;Practical Minnesota input;Organized Kuwaiti Dinar Cape Verde;0346e4ae-09e9-4cb5-96ed-bb11ca766bc3;true;7
8;Checking Account;Ergonomic;Buckinghamshire XSS;Intranet web-enabled navigate;73afb6e7-680f-4242-b5e3-052c5d9aa697;false;8
9;invoice auxiliary;port Taka Handcrafted;calculate composite Shirt;Berkshire;5728b999-18f8-476c-baba-58ea3b5bf556;true;9
10;Texas;Ergonomic capacitor;fuchsia;white Handmade;25567286-b236-41fa-b638-302a00f4e9a5;false;10
