id;uid;active;name;tooltip;description;toolbar;icon;ad_organization_id
1;72cc527e-6906-44ee-abad-d5a1f443430f;true;didactic programming;Tactics CSS;ADP Chair;true;installation payment;1
2;8b0378aa-cac9-4690-8ee1-b380190617b9;false;Intranet;systemic;invoice deliverables;false;Facilitator;2
3;422eb909-9c02-4046-b666-4b2d29ddf0d5;true;concept;Advanced USB;parallelism Cotton e-commerce;true;Mouse;3
4;35269848-0735-4050-82bd-6f226e46880e;true;convergence 1080p optical;Developer sensor Albania;Intelligent Concrete Shoes;false;Checking Account input Sleek;4
5;29a5cd8a-41b4-4bfd-9990-ff2f94a9349e;true;Algerian Dinar;e-business Generic;national Lesotho;true;yellow ivory;5
6;7c4e7b90-17e1-4c52-b954-80a897d766af;false;Cambridgeshire haptic transmitter;Rwanda Franc European Monetary Unit (E.M.U.-6);bottom-line Profit-focused;true;Lithuanian Litas Practical Metal Fish;6
7;f00e53b4-d02d-4e76-b631-c37e81b0e31d;true;Generic;hack;enterprise;true;PNG;7
8;f9b47606-a698-4183-8d2a-3541288b4389;true;synthesizing Practical Fresh Pants cultivate;Future AGP bypassing;Fantastic Cotton Hat Configuration Garden;true;neural National Washington;8
9;2b32d151-1b77-44dd-aa01-24c83368695d;true;back-end;Program strategic;Practical Metal Computer withdrawal;false;Tools azure;9
10;54aa749f-c4f9-49b3-829c-586a4903aad1;false;methodologies quantify synthesizing;Savings Account back-end HTTP;Intranet circuit;false;tan;10
