id;code;name;description;budget_deduction;budget_amount;amount_available;document_date;prevent_over_budget;uid;active;ad_organization_id;c_cost_center_id;c_currency_id
1;proactive Dynamic ca;Gorgeous Fresh Tuna;Multi-lateral Buckinghamshire GB;Practical Soft Car;17383;54802;2021-03-25;true;dad1e631-c359-494c-a760-24a144114026;true;1;1;1
2;e-enable;Taka Analyst;Home Loan Account Architect;Michigan;21870;52397;2021-03-25;true;9653c249-83d1-428f-afae-9ad78f731cd3;true;2;2;2
3;withdrawal;local area network;River;neural Lock invoice;10977;41929;2021-03-24;false;50947f52-ac26-422e-8ed0-9ba01b5fd012;false;3;3;3
4;AI;Senior Chair;Moroccan Dirham quantifying;lime Computer Movies;69344;2835;2021-03-25;true;7c3bf404-7c1d-4c54-bd62-5ef1b5b41e7e;false;4;4;4
5;hacking Barbados Dol;functionalities;tan;architect Minnesota black;75454;31459;2021-03-25;false;0cda32fd-7adf-4281-95b4-8842606f094b;false;5;5;5
6;withdrawal backing u;Computer;networks Markets applications;Malawi Morocco interface;11856;18617;2021-03-25;false;d58e6d36-106b-43a7-919e-df9c662185e3;true;6;6;6
7;port deposit;Vision-oriented Congolese Franc;Licensed Ouguiya Investment Account;real-time Jewelery;13261;45828;2021-03-25;true;9ff34b01-2071-486a-b7f7-bee06fb94285;true;7;7;7
8;metrics THX;Somali Shilling Soap;architect Baby;JBOD user-centric;12852;40719;2021-03-25;true;d37418be-3c8c-4598-be74-9655102c22be;false;8;8;8
9;Garden;withdrawal Rwanda Franc Rustic;end-to-end Home world-class;Kwacha;83939;65634;2021-03-25;true;fa88dfee-723f-46f9-8f2d-c5899ffa11e8;true;9;9;9
10;networks Metal trans;iterate;azure Reduced;Sleek Concrete Towels;50859;63429;2021-03-25;true;cae0b026-d151-4ff0-929b-a93346f1fb92;true;10;10;10
