id;code;name;division;description;uid;active;ad_organization_id
1;Electronics;Naira;Tactics;mission-critical Handcrafted Handcrafted;96908909-40ce-4c3a-bc35-f1a90be78c18;false;1
2;Administrator;context-sensitive;3rd generation Arkansas harness;standardization Cambridgeshire Bedfordshire;db5195fa-9531-43d1-a6a7-cf5a125d0874;true;2
3;Branding;Avon;transmit;Montana viral workforce;d959330f-8042-4992-a200-cace2a6d3ef4;true;3
4;Wisconsin;override Afghanistan Heard Island and McDonald Islands;Steel;input;c05b839e-e1eb-4a6e-b18f-e7ce871817a6;true;4
5;Research;bandwidth;Savings Account California;generate Mississippi;9a9f65c8-5002-41cf-a999-8872f3a646ee;true;5
6;Lakes open-source Rhode Island;payment Practical Handcrafted Plastic Soap;Corporate French Polynesia Director;CSS Assurance;0290622f-eaaf-4f78-aafb-747b9e8a1c7f;false;6
7;1080p synthesize;scalable New Zealand Dollar USB;Granite Mount Point;Well payment Manager;9fdcf508-c548-4ffd-8d8c-9c60680e681d;false;7
8;Reduced Rand Loti Salad;Wooden;Massachusetts Cambridgeshire Synchronised;fresh-thinking Martinique;ee5804f8-e4b1-402e-b2bf-867669f09769;true;8
9;lime bandwidth-monitored;Auto Loan Account;AGP open-source;Fish;7a5995f7-14a0-4db3-bea1-4e5d58d84995;false;9
10;Dominican Peso Unbranded;Egyptian Pound azure Executive;Isle of Man;Sports Wooden California;b43cf25a-2c90-42ed-8949-f0bf017ffe40;true;10
